State: PRELAUNCH, Time: 551.50s , Lat: 34.612453, Lon: 127.205940, Alt: 1.26m , P: 1026.17hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.294, velo : -0.534, apo : 1.370, r2 : 0.000 )
State: PRELAUNCH, Time: 551.52s , Lat: 34.612453, Lon: 127.205940, Alt: 1.26m , P: 1026.17hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.274, velo : -0.621, apo : 1.366, r2 : 0.000 )
State: PRELAUNCH, Time: 551.54s , Lat: 34.612453, Lon: 127.205940, Alt: 1.30m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.275, velo : -0.497, apo : 1.419, r2 : 0.000 )
State: PRELAUNCH, Time: 551.56s , Lat: 34.612453, Lon: 127.205940, Alt: 1.28m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.271, velo : -0.439, apo : 1.428, r2 : 0.000 )
State: PRELAUNCH, Time: 551.58s , Lat: 34.612453, Lon: 127.205940, Alt: 1.28m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, -0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.269, velo : -0.372, apo : 1.366, r2 : 0.000 )
State: PRELAUNCH, Time: 551.60s , Lat: 34.612453, Lon: 127.205940, Alt: 1.24m , P: 1026.17hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.255, velo : -0.441, apo : 1.377, r2 : 0.000 )
State: PRELAUNCH, Time: 551.62s , Lat: 34.612453, Lon: 127.205940, Alt: 1.25m , P: 1026.17hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.248, velo : -0.421, apo : 1.367, r2 : 0.000 )
State: PRELAUNCH, Time: 551.64s , Lat: 34.612453, Lon: 127.205940, Alt: 1.25m , P: 1026.17hPa , Euler: (177.83, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.244, velo : -0.382, apo : 1.365, r2 : 0.000 )
State: PRELAUNCH, Time: 551.66s , Lat: 34.612453, Lon: 127.205940, Alt: 1.30m , P: 1026.16hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.257, velo : -0.178, apo : 1.363, r2 : 0.000 )
State: PRELAUNCH, Time: 551.68s , Lat: 34.612453, Lon: 127.205940, Alt: 1.32m , P: 1026.16hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.274, velo : 0.012, apo : 1.366, r2 : 0.000 )
State: PRELAUNCH, Time: 551.70s , Lat: 34.612453, Lon: 127.205940, Alt: 1.32m , P: 1026.16hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.287, velo : 0.141, apo : 1.399, r2 : 0.000 )
State: PRELAUNCH, Time: 551.71s , Lat: 34.612453, Lon: 127.205940, Alt: 1.37m , P: 1026.15hPa , Euler: (177.86, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.314, velo : 0.373, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.73s , Lat: 34.612453, Lon: 127.205940, Alt: 1.39m , P: 1026.15hPa , Euler: (177.86, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.344, velo : 0.589, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.75s , Lat: 34.612453, Lon: 127.205940, Alt: 1.39m , P: 1026.15hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, -0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.368, velo : 0.700, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.77s , Lat: 34.612453, Lon: 127.205940, Alt: 1.42m , P: 1026.14hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.394, velo : 0.822, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.79s , Lat: 34.612453, Lon: 127.205940, Alt: 1.42m , P: 1026.14hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.415, velo : 0.863, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.81s , Lat: 34.612453, Lon: 127.205940, Alt: 1.42m , P: 1026.14hPa , Euler: (177.83, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.430, velo : 0.838, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.83s , Lat: 34.612453, Lon: 127.205940, Alt: 1.42m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.438, velo : 0.753, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.85s , Lat: 34.612453, Lon: 127.205940, Alt: 1.41m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.438, velo : 0.610, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.87s , Lat: 34.612453, Lon: 127.205940, Alt: 1.41m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.436, velo : 0.474, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.88s , Lat: 34.612453, Lon: 127.205940, Alt: 1.39m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.428, velo : 0.305, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.90s , Lat: 34.612453, Lon: 127.205940, Alt: 1.43m , P: 1026.14hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.433, velo : 0.300, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.92s , Lat: 34.612453, Lon: 127.205940, Alt: 1.43m , P: 1026.14hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.437, velo : 0.278, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.94s , Lat: 34.612453, Lon: 127.205940, Alt: 1.41m , P: 1026.15hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.431, velo : 0.166, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.96s , Lat: 34.612453, Lon: 127.205940, Alt: 1.35m , P: 1026.15hPa , Euler: (177.85, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, -0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.406, velo : -0.099, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.98s , Lat: 34.612453, Lon: 127.205940, Alt: 1.35m , P: 1026.15hPa , Euler: (177.85, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.386, velo : -0.273, apo : 1.476, r2 : 0.000 )
State: PRELAUNCH, Time: 552.00s , Lat: 34.612453, Lon: 127.205940, Alt: 1.20m , P: 1026.17hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.323, velo : -0.827, apo : 1.413, r2 : 0.000 )
State: PRELAUNCH, Time: 552.02s , Lat: 34.612453, Lon: 127.205940, Alt: 1.24m , P: 1026.17hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.287, velo : -1.016, apo : 1.412, r2 : 0.000 )
State: PRELAUNCH, Time: 552.04s , Lat: 34.612453, Lon: 127.205940, Alt: 1.24m , P: 1026.17hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.259, velo : -1.083, apo : 1.428, r2 : 0.000 )
State: PRELAUNCH, Time: 552.06s , Lat: 34.612453, Lon: 127.205940, Alt: 1.26m , P: 1026.16hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.245, velo : -1.014, apo : 1.435, r2 : 0.000 )
State: PRELAUNCH, Time: 552.08s , Lat: 34.612453, Lon: 127.205940, Alt: 1.29m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.245, velo : -0.824, apo : 1.493, r2 : 0.000 )
State: PRELAUNCH, Time: 552.09s , Lat: 34.612453, Lon: 127.205940, Alt: 1.29m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.247, velo : -0.644, apo : 1.474, r2 : 0.000 )
State: PRELAUNCH, Time: 552.11s , Lat: 34.612453, Lon: 127.205940, Alt: 1.24m , P: 1026.17hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.236, velo : -0.620, apo : 1.558, r2 : 0.000 )
State: PRELAUNCH, Time: 552.13s , Lat: 34.612453, Lon: 127.205940, Alt: 1.27m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.237, velo : -0.493, apo : 1.425, r2 : 0.000 )
State: PRELAUNCH, Time: 552.15s , Lat: 34.612453, Lon: 127.205940, Alt: 1.27m , P: 1026.16hPa , Euler: (177.83, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.240, velo : -0.376, apo : 1.418, r2 : 0.000 )
State: PRELAUNCH, Time: 552.17s , Lat: 34.612453, Lon: 127.205940, Alt: 1.26m , P: 1026.16hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.239, velo : -0.306, apo : 1.464, r2 : 0.000 )
State: PRELAUNCH, Time: 552.19s , Lat: 34.612453, Lon: 127.205940, Alt: 1.30m , P: 1026.16hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.255, velo : -0.102, apo : 1.426, r2 : 0.000 )
State: PRELAUNCH, Time: 552.21s , Lat: 34.612453, Lon: 127.205940, Alt: 1.30m , P: 1026.16hPa , Euler: (177.85, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.268, velo : 0.043, apo : 1.415, r2 : 0.000 )
State: PRELAUNCH, Time: 552.23s , Lat: 34.612453, Lon: 127.205940, Alt: 1.21m , P: 1026.17hPa , Euler: (177.86, 2.54, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.249, velo : -0.144, apo : nan, r2 : nan )
